"area_numbe","area_num_1","area","comarea","comarea_id","community","perimeter","shape_area","shape_len","life_expectency","violent_crime_count","per_families_children_below_poverty","per_bachelors","per_no_internet","per_no_HI","per_same_house","per_poor_mh","disconnection_rate","hs_disconnection_rate","covid_death_rate","structural_ranking","covid_impact_ranking","health_ranking","overall_ranking","pr_poverty","pr_no_bachelors","pr_no_internet","pr_no_HI","pr_moved","pr_comm_disconnection","pr_hs_disconnection","pr_covid_death_rate","pr_poor_mh","pr_crime","pr_life_expectency","percent_black_hisp","pr_black_hisp","total","hs_graduation_spr2020","pr_low_hs_grad","partner_count","pr_partner_count"
11,11,0,0,0,"JEFFERSON PARK",0,64868161.6818,44011.9571704,79.8778,271,12.359757151839,24.1025275070732,11.6564488368438,10.815132819868,89.17446832757,11.0728308707953,8.13597,0.020984,239.47469,0.0921052631578947,0.394736842105263,0.210526315789474,0.22,0.263157894736842,0.328947368421053,0.157894736842105,0.276315789473684,0.407894736842105,0.276315789473684,0.0921052631578947,0.763157894736842,0.210526315789474,0.197368421052632,0.315789473684211,0.25811729629495,0.184210526315789,2.64473684210526,88,0.25,0,0
12,12,0,0,0,"FOREST GLEN",0,89130893.6364,74493.821604,82.9067,121,3.29147936027664,32.8857715582451,8.76260590015129,2.39525880700238,94.0831942943592,8.82621028744327,11.118627,4.813632,257.29433,0.0263157894736842,0.486842105263158,0,0.11,0.0657894736842105,0.144736842105263,0.131578947368421,0.0263157894736842,0.0526315789473684,0.565789473684211,0.171052631578947,0.842105263157895,0,0.0263157894736842,0.0263157894736842,0.163227404044573,0.105263157894737,1.78947368421053,91,0.0921052631578947,21,0.671052631578947
13,13,0,0,0,"NORTH PARK",0,70288706.4343,41581.9486539,81.1375,201,17.0897551726061,29.2914957336456,13.8702543081814,18.0148714516759,91.3313836372762,10.5025430818136,11.216617,4.888993,236.34594,0.144736842105263,0.460526315789474,0.25,0.29,0.394736842105263,0.184210526315789,0.236842105263158,0.631578947368421,0.210526315789474,0.605263157894737,0.197368421052632,0.723684210526316,0.157894736842105,0.0921052631578947,0.157894736842105,0.228930950618589,0.157894736842105,3.1578947368421,92,0.0394736842105263,0,0
14,14,0,0,0,"ALBANY PARK",0,53542230.8191,39339.0164387,79.4268,645,20.12164448411,25.418185363393,15.8579391564161,26.9095826704435,84.4801738388111,12.5601587055217,11.21602,4.89058,240.56364,0.460526315789474,0.578947368421053,0.644736842105263,0.55,0.513157894736842,0.263157894736842,0.355263157894737,0.907894736842105,0.671052631578947,0.592105263157895,0.210526315789474,0.776315789473684,0.421052631578947,0.526315789473684,0.447368421052632,0.499136650202787,0.368421052631579,4.90789473684211,86,0.407894736842105,23,0.776315789473684
15,15,0,0,0,"PORTAGE PARK",0,110196097.139,46520.6421377,80.1099,819,10.2775715800636,21.911422712245,14.4853295178092,13.94231785291,90.2296753165741,12.0937527290874,8.135985,0.010736,205.21349,0.171052631578947,0.263157894736842,0.289473684210526,0.3,0.236842105263158,0.407894736842105,0.302631578947368,0.447368421052632,0.289473684210526,0.289473684210526,0.0657894736842105,0.407894736842105,0.355263157894737,0.592105263157895,0.263157894736842,0.448742357402678,0.328947368421053,3.22368421052632,85,0.513157894736842,1,0.131578947368421
16,16,0,0,0,"IRVING PARK",0,89611382.3106,49083.2240938,79.7732,691,10.0358964748215,25.3209645982871,14.6840952791469,27.0533638186623,87.9634983789051,11.6545287580352,11.212977,4.879028,162.12594,0.276315789473684,0.171052631578947,0.513157894736842,0.41,0.223684210526316,0.276315789473684,0.315789473684211,0.921052631578947,0.5,0.578947368421053,0.184210526315789,0.210526315789474,0.263157894736842,0.552631578947368,0.355263157894737,0.451634597422006,0.342105263157895,3.76315789473684,88,0.25,0,0
17,17,0,0,0,"DUNNING",0,103595001.175,54555.9925337,79.739,395,5.2372007059048,16.4724465801774,18.6990668224745,5.59311480492225,92.9393541925022,11.9349470571401,8.126748,0,205.71682,0.0526315789473684,0.421052631578947,0.223684210526316,0.24,0.105263157894737,0.460526315789474,0.513157894736842,0.131578947368421,0.118421052631579,0.263157894736842,0,0.421052631578947,0.328947368421053,0.342105263157895,0.368421052631579,0.312510070203706,0.25,2.72368421052632,89,0.184210526315789,25,0.881578947368421
18,18,0,0,0,"MONTCLARE",0,27576393.6325,22404.8521448,78.301,183,14.3855653210189,8.79768359898704,23.7410636079249,16.1869834649188,89.4704841352599,12.808297333532,14.42874,22.335532,148.19728,0.592105263157895,0.394736842105263,0.5,0.43,0.315789473684211,0.763157894736842,0.723684210526316,0.552631578947368,0.381578947368421,0.697368421052632,0.815789473684211,0.197368421052632,0.473684210526316,0.0789473684210526,0.5,0.626550781523796,0.434210526315789,3.97368421052632,83,0.671052631578947,0,0
19,19,0,0,0,"BELMONT CRAGIN",0,109099414.689,43311.707379,79.7362,1396,18.8091170008763,9.01028561268938,21.9177065897921,20.39683019443,91.9223580508744,14.549712355384,14.42811,22.333298,234.10367,0.710526315789474,0.710526315789474,0.605263157894737,0.7,0.460526315789474,0.736842105263158,0.657894736842105,0.697368421052632,0.184210526315789,0.684210526315789,0.802631578947368,0.671052631578947,0.671052631578947,0.776315789473684,0.381578947368421,0.835510998587804,0.552631578947368,5.55263157894737,87,0.302631578947368,25,0.881578947368421
2,2,0,0,0,"WEST RIDGE",0,98429094.8621,43020.6894583,79.8056,955,22.9010063662395,25.0114935642601,14.0438889661116,22.4603823913708,88.0421831475355,12.3910580745601,9.213784,10.150636,238.15585,0.5,0.5,0.421052631578947,0.49,0.592105263157895,0.302631578947368,0.263157894736842,0.776315789473684,0.486842105263158,0.355263157894737,0.421052631578947,0.736842105263158,0.368421052631579,0.657894736842105,0.342105263157895,0.304858155124512,0.236842105263158,4.32894736842105,86,0.407894736842105,3,0.236842105263158
